,0,1,2,3,4,5,6,7,8,9,10
0,180.23813,180.28497,180.61998,179.69968,178.32939,176.98532,175.65717,174.73705,174.8,174.8,174.74673
1,178.50345,178.66388,179.8112,180.09465,179.61148,178.37732,176.24344,175.23093,174.99258,174.8,174.70198
2,176.51572,176.5802,177.04134,178.10162,179.23221,179.14297,177.25955,175.9517,175.00877,174.65346,174.62494
3,175.52264,175.57239,175.92805,176.50223,177.32214,178.52005,178.12183,176.3491,175.37814,174.63481,174.53728
4,174.6532,174.70425,175.06938,175.27226,176.06657,176.98982,177.56699,176.93562,175.9963,174.9456,174.5687
5,174.00508,174.02751,174.18788,174.2969,174.96387,175.53374,176.38458,176.8654,176.45772,175.54843,174.72739
6,173.69072,173.70421,173.80072,173.73964,173.70695,174.41068,175.19275,175.86754,176.37215,176.17284,175.04613
7,173.5202,173.52603,173.56773,173.47166,173.45302,173.41441,173.67021,174.8168,175.6408,176.32027,175.40358
8,173.38274,173.39308,173.46707,173.34729,173.18678,173.20264,173.12614,173.2686,174.59306,175.44179,175.15646
9,173.24611,173.2513,173.28844,173.18303,173.07765,173.00014,173.03233,173.06177,173.26035,174.08871,174.60054
10,173.15648,173.16167,173.19879,173.0786,172.9574,173.04071,172.91359,172.95091,172.79295,172.53317,173.32098
11,173.1032,173.10393,173.10916,173.00041,172.90906,172.92992,172.74365,172.2811,171.9957,171.83778,171.93047
12,173.04189,173.04858,173.09651,173.04074,172.8847,172.66013,172.15005,171.91226,171.70126,171.63193,171.52519
13,172.69128,172.7268,172.98082,172.49019,172.35107,172.13817,171.76398,171.69304,171.5979,171.54189,171.4643
14,172.0996,172.13248,172.36757,171.94681,171.90303,171.8444,171.65091,171.53374,171.48154,171.45235,171.3976
15,171.79848,171.79868,171.8,171.8,171.81404,171.80669,171.6209,171.48416,171.4,171.38158,171.32834
16,171.77776,171.78009,171.79678,171.77281,171.77289,171.72452,171.591,171.5059,171.38814,171.3369,171.3
17,171.68225,171.69136,171.75648,171.68037,171.6667,171.63875,171.53903,171.45103,171.36288,171.26775,171.16566
18,171.59412,171.59474,171.59924,171.57741,171.4986,171.46567,171.39398,171.39406,171.38632,171.08058,170.44812
19,171.91147,171.87183,171.58838,171.50348,171.47804,171.37602,171.30446,171.30453,171.17706,170.76653,170.12927
20,172.3271,172.32042,172.27269,171.54015,171.32613,171.28638,171.24373,171.3,171.09007,170.70737,170.43149
21,172.3573,172.36107,172.38792,171.96431,171.22523,171.34613,171.58023,171.41971,171.11713,170.62492,170.42282
22,172.30945,172.31113,172.32307,172.1771,171.8774,171.80275,171.73999,171.40988,171.06006,170.6309,170.42825
23,172.31749,172.31464,172.29422,172.2622,172.26581,172.0652,171.7095,171.32758,170.96642,170.64919,170.34859
24,172.3642,172.36165,172.34352,172.33559,172.26631,172.02856,171.54666,171.14258,170.85281,170.58478,170.20256
25,172.34024,172.34602,172.3873,172.25282,171.98181,171.6881,171.2759,170.9668,170.73169,170.44974,170.07306
26,172.13545,172.15413,172.28764,171.88577,171.37749,171.15475,171.056,170.96684,170.63385,170.20334,169.60786
27,171.72679,171.75606,171.9653,171.48698,171.2,171.19652,171.12299,170.9011,170.41182,169.48294,168.17831
28,171.44878,171.45016,171.46014,171.19772,171.20113,171.16982,171.057,170.73688,169.51237,167.88402,167.25214
29,171.38396,171.39035,171.43607,171.06879,171.26912,171.11693,170.5031,169.15816,167.86009,167.5422,168.0032
30,170.22801,170.36267,171.32568,171.07118,170.2702,169.93697,169.13066,167.88823,167.40665,167.54248,167.74156
31,168.37314,168.45013,169.00076,169.12344,168.9778,168.329,167.70825,167.4803,167.5848,167.61734,167.6266
