,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,167.9079,167.90599,167.89229,167.89383,167.84761,167.35243,166.63701,166.78137,167.37303,168.28976,168.95576,169.35364,169.83011,170.02266,170.05153,170.08624,170.2524,170.43352,170.40619,170.72511,170.21199,170.28326,171.71622,173.55313,173.85841,174.09052,174.1,173.92259,173.85027,173.57666,171.96043,171.23053
1,168.39975,168.34155,167.92535,168.11473,168.32013,168.366,168.58138,169.08727,169.30379,169.386,169.79773,170.0474,170.25903,170.46417,170.63428,170.80406,171.08195,171.06442,171.05661,171.20715,171.62825,172.4196,173.69292,174.18567,174.03108,174.02,173.97548,173.80554,173.84001,173.62651,172.89618,171.50853
2,169.61731,169.533,168.93013,169.19078,169.6031,169.87549,170.19618,170.4855,170.6689,170.78615,171.08405,170.89645,170.98064,171.25488,171.4649,171.49376,171.63957,171.78244,172.1288,172.47255,173.52754,173.81804,174.20496,174.2942,174.16269,174.06952,173.93584,173.8356,173.83333,173.74193,173.31964,171.79695
3,171.05011,170.96858,170.38559,170.74803,171.15651,171.40738,171.59848,171.68953,171.83195,171.97746,172.11671,171.93752,171.85669,172.03041,172.19229,172.44171,172.69008,173.33835,173.84941,173.46,174.21404,174.25937,174.2529,174.28795,174.21518,174.07085,173.99799,173.90686,173.83315,173.8,173.63947,172.66737
4,172.43106,172.35278,171.79306,172.32994,172.64398,172.7685,172.85744,172.9931,173.04912,173.04831,172.98875,172.9469,172.91008,173.23059,173.65988,174.29251,174.80957,175.69962,175.52336,174.11218,174.22372,174.3,174.28233,174.27022,174.2537,174.14647,174.04385,173.90863,173.84944,173.74348,173.81606,173.34592
5,173.82098,173.73798,173.14436,173.75354,173.98376,174.04929,174.13185,174.3192,174.266,174.18245,174.1876,174.32521,174.68968,175.33897,175.88531,176.49472,177.141,177.71085,176.52492,174.64072,174.25317,174.33371,174.40178,174.32118,174.31174,174.26682,174.06038,173.90007,173.90495,173.77516,173.8293,173.57133
6,175.24115,175.15973,174.57745,175.17209,175.3546,175.45857,175.55627,175.69481,175.7198,175.7308,176.08443,176.50305,177.08174,177.64941,177.82864,178.00208,178.45192,178.5433,176.97606,175.1985,174.28539,174.4078,174.56525,174.43085,174.34802,174.27042,174.12186,174.02069,173.99417,173.92741,173.80075,173.73476
7,176.52354,176.45726,175.98318,176.62836,176.79155,176.91293,177.0098,177.19969,177.56198,177.68109,178.14581,178.57715,178.66357,178.67744,178.68195,178.62668,178.69626,178.7236,177.45667,175.94638,174.21228,174.47127,174.56514,174.45973,174.35432,174.2154,174.2182,174.22108,174.07127,173.91965,173.75323,173.75836
8,177.43767,177.39963,177.12769,177.50517,177.59988,177.7508,178.2587,178.49185,178.49979,178.45819,178.47063,178.50783,178.5132,178.58527,178.60144,178.69304,178.70537,178.83798,178.10686,176.57152,174.10063,174.53453,174.56503,174.46239,174.36412,174.31,174.24629,174.14207,174.09338,173.88277,173.81126,173.67131
9,178.33614,178.26843,177.78423,178.38918,178.66635,178.35284,178.33607,178.40231,178.4977,178.59618,178.5964,178.59737,178.6658,178.69652,178.61823,178.77074,178.71017,178.80647,178.76855,177.46327,174.80092,174.5976,174.56491,174.49855,174.49464,174.44312,174.28493,174.19757,174.00156,173.89923,173.97092,174.22499
10,179.09714,179.07948,178.9532,179.1014,179.11218,179.00743,179.00314,178.97249,178.89273,178.86115,178.80896,178.83038,178.86974,178.87346,178.79195,178.79645,178.86545,178.80971,178.84998,178.00565,175.41534,174.41867,174.59508,174.51616,174.41414,174.4069,174.33505,174.28561,174.37189,174.22552,174.10065,174.12228
11,179.38283,179.36752,179.25807,179.29402,179.36874,179.38235,179.27171,179.16658,179.14188,179.08804,178.99315,179.0181,179.05269,179.05252,179.03296,179.16054,179.12491,178.88359,178.89008,178.41307,176.19086,174.70778,174.57333,174.56601,174.5914,174.62822,174.60117,174.38493,174.33377,174.29515,174.19637,174.11201
12,179.6813,179.6618,179.52231,179.64034,179.65695,179.57803,179.38966,179.26627,179.26619,179.17549,179.00044,178.99942,179.03413,179.08434,179.1,179.27397,179.3808,179.08676,178.91805,178.7845,177.22374,175.27245,174.57272,174.92125,174.95815,174.76599,174.72287,174.51775,174.38538,174.36452,174.28578,174.2344
13,180.16858,180.13062,179.85907,180.25516,180.00607,179.67183,179.33281,179.2442,179.21683,179.14021,179.04662,179.00378,179,178.99187,179.07977,179.2742,179.4814,179.33821,179.01476,178.96666,178.25674,176.54587,175.25737,175.2756,175.19368,174.96121,174.85144,174.68332,174.54031,174.5081,174.4717,174.41632
14,180.76306,180.73259,180.51463,180.6965,180.07251,179.57939,179.26143,179.2,179.17297,179.12044,179.12715,179.10895,179.08987,179.01332,179.07991,179.19646,179.36058,179.51479,179.21312,179.07152,178.87268,177.77472,175.92276,175.49814,175.36507,175.20686,175.04912,174.88957,174.76292,174.69873,174.6527,174.55914
15,180.9009,180.91806,181.04082,180.58311,179.85681,179.43344,179.27484,179.23486,179.23479,179.19887,179.18779,179.2,179.2245,179.18419,179.14052,179.16412,179.24019,179.54852,179.41052,179.2221,179.05034,178.3322,176.25893,175.68697,175.58951,175.44833,175.28532,175.11617,174.99821,174.89265,174.78708,174.68153
